Demon Franky	cd&v
Farih Nawal	cd&v
Gielis Tine	cd&v
Grillaert Leentje	cd&v
Lanjri Nahima	cd&v
Mahdi Sammy	cd&v
Matheï Steven	cd&v
Muylle Nathalie	cd&v
Van den Heuvel Koen	cd&v
Van Hoof Els	cd&v
Van Keymolen Phaedra	cd&v
De Smet François	DéFI
Aerts Staf	Ecolo-Groen
Almaci Meyrem	Ecolo-Groen
De Sutter Petra	Ecolo-Groen
Maouane Rajae	Ecolo-Groen
Schlitz Sarah	Ecolo-Groen
Vanbesien Dieter	Ecolo-Groen
Vandemaele Matti	Ecolo-Groen
Van der Straeten Tinne	Ecolo-Groen
Van Hecke Stefaan	Ecolo-Groen
Dethier Simon	Les Engagés
Dubois Xavier	Les Engagés
Frank Luc	Les Engagés
Gatelier Jean-François	Les Engagés
Hansez Isabelle	Les Engagés
Kompany Pierre	Les Engagés
Lasseaux Stéphane	Les Engagés
Lejeune Marc	Les Engagés
Lutgen Benoît	Les Engagés
Matagne Julien	Les Engagés
Nuino Ismaël	Les Engagés
Pirson Anne	Les Engagés
Ramlot Carmen	Les Engagés
Tourneur Aurore	Les Engagés
Bacquelaine Daniel	MR
Bombled Christophe	MR
Bouchez Georges-Louis	MR
Cornillie Hervé	MR
Deborsu Charlotte	MR
Delcourt Catherine	MR
De Maegd Michel	MR
Ducarme Denis	MR
Dufrane Anthony	MR
Foret Gilles	MR
Goffin Philippe	MR
Handichi Youssef	MR
Jadoul Pierre	MR
Michel Mathieu	MR
Piedboeuf Benoît	MR
Reuter Florence	MR
Scourneau Vincent	MR
Taton Julie	MR
Vandeberg Victoria	MR
Bergers Jeroen	N-VA
Buysrogge Peter	N-VA
Cuylaerts Dorien	N-VA
Demesmaeker Eva	N-VA
Depoorter Kathleen	N-VA
De Roover Peter	N-VA
De Vreese Maaike	N-VA
De Wit Sophie	N-VA
D'Haese Christoph	N-VA
Freilich Michael	N-VA
Gijbels Frieda	N-VA
Metsu Koen	N-VA
Peeters Lotte	N-VA
Raskin Wouter	N-VA
Ronse Axel	N-VA
Safai Darya	N-VA
Truyman Lieve	N-VA
Vandeput Steven	N-VA
Van der Donckt Wim	N-VA
van Riet Katrijn	N-VA
Van Vaerenbergh Kristien	N-VA
Verkeyn Charlotte	N-VA
Wollants Bert	N-VA
Dedecker Jean-Marie	ONAFH
Bertrand Alexia	Open Vld
Coenegrachts Steven	Open Vld
De Croo Alexander	Open Vld
De Knop Irina	Open Vld
Gabriëls Katja	Open Vld
Vander Elst Kjell	Open Vld
Van Quickenborne Vincent	Open Vld
Van Tigchelt Paul	Open Vld
Aouasti Khalil	PS
Bayet Hugues	PS
Chahid Ridouane	PS
Courard Philippe	PS
Daerden Frédéric	PS
Dedonder Ludivine	PS
Dermagne Pierre-Yves	PS
Désir Caroline	PS
Lacroix Christophe	PS
Legasse Dimitri	PS
Magnette Paul	PS
Meunier Marie	PS
Mutyebele Ngoi Lydia	PS
Prévot Patrick	PS
Thémont Sophie	PS
Thiébaut Éric	PS
Bilmez Kemal	PVDA-PTB
Boukili Nabil	PVDA-PTB
Daems Greet	PVDA-PTB
D'Amico Roberto	PVDA-PTB
De Witte Kim	PVDA-PTB
Eggermont Natalie	PVDA-PTB
Hedebouw Raoul	PVDA-PTB
Jacquet Farah	PVDA-PTB
Merckx Sofie	PVDA-PTB
Mertens Peter	PVDA-PTB
Moscufo Nadia	PVDA-PTB
Ribaudo Julien	PVDA-PTB
Tonniau Robin	PVDA-PTB
Van den Bosch Annik	PVDA-PTB
Yigit Ayse	PVDA-PTB
Bury Katleen	VB
Depoortere Ortwin	VB
Dillen Marijke	VB
Huybrechts Britt	VB
Keuten Dieter	VB
Moons Kurt	VB
Pas Barbara	VB
Ponthier Annick	VB
Ravyts Kurt	VB
Samyn Ellen	VB
Sneppe Dominiek	VB
Somers Werner	VB
Troosters Frank	VB
Van Belleghem Francesca	VB
Van Hoecke Alexander	VB
Van Lommel Reccino	VB
Van Rooy Sam	VB
Verbelen Kristien	VB
Vereeck Lode	VB
Vermeersch Wouter	VB
Bertels Jan	Vooruit
Daenen Nele	Vooruit
El Yakhloufi Achraf	Vooruit
Lamarti Fatima	Vooruit
Lambrecht Annick	Vooruit
Meuleman Brent	Vooruit
Oru Funda	Vooruit
Seuntjens Oskar	Vooruit
Soete Jeroen	Vooruit
Tas Niels	Vooruit
Vanrobaeys Anja	Vooruit
Weydts Axel	Vooruit
Yzermans Alain	Vooruit
